STATSSA_Area_Code,Description,Main_Code
2011-798014058,Alexandra Ext 6,2011-798014
2011-798014012,Alexandra Ext 60,2011-798014
2011-798014013,Alexandra Ext 61,2011-798014
2011-798014014,Alexandra Ext 62,2011-798014
2011-798014015,Alexandra Ext 63,2011-798014
2011-798014016,Alexandra Ext 65,2011-798014
2011-798014017,Alexandra Ext 66,2011-798014
2011-798014018,Alexandra Ext 68,2011-798014
2011-798014075,Alexandra Ext 7,2011-798014
2011-798014041,Alexandra Ext 70,2011-798014
2011-798014042,Alexandra Ext 73,2011-798014
2011-798014059,Alexandra Ext 8,2011-798014
2011-798014050,Alexandra Ext 9,2011-798014
2011-798014040,Alexandra SP,2011-798014
2011-265008002,Alexandria SP,2011-265008
2011-592020001,Alexia SP,2011-592020
2011-199016014,Alf. Blv,2011-199016
2011-504053001,Alfred SP,2011-504053
2011-674044001,Algiers SP,2011-674044
2011-299007010,Algoa Park,2011-299007
2011-378019001,Alheit SP,2011-378019
2011-276096002,Alice SP,2011-276096
2011-264005001,Alicedale SP,2011-264005
2011-288002004,Aliwal North SP1,2011-288002
2011-288002002,Aliwal North SP2,2011-288002
2011-284184001,All Saints Mission SP,2011-284184
2011-299007016,Allan Heights,2011-299007
2011-566001009,Allandale SP,2011-566001
2011-276132001,Allandale SP,2011-276132
2011-467001001,Allanridge SP,2011-467001
2011-299003017,Allanridge West,2011-299003
2011-281094001,Allanwater SP,2011-281094
2011-969001002,Alldays SP,2011-969001
2011-872031003,Allemansdrift A,2011-872031
2011-872031002,Allemansdrift B,2011-872031
2011-872031001,Allemansdrift C,2011-872031
2011-797006021,Allen Grove,2011-797006
2011-798022029,Allen's Nek,2011-798022
2011-526054003,Alletta,2011-526054
2011-467009008,Alma,2011-467009
2011-980004001,Alma SP,2011-980004
2011-281017024,Aloe,2011-281017
2011-514018017,Aloe Park,2011-514018
2011-987137006,Aloe Ridge,2011-987137
2011-596006001,Aloekop SP,2011-596006
2011-281017023,Aloevale,2011-281017
2011-199041053,Alphen,2011-199041
2011-797011047,Alphen Park,2011-797011
2011-797028017,Alra Park,2011-797028
2011-797028021,Alra Park Ext 1,2011-797028
2011-797028020,Alrapark Wagplek,2011-797028
2011-797029013,Alrode,2011-797029
2011-797029018,Alrode South,2011-797029
2011-798022012,Alsef AH,2011-798022
2011-966225001,Altein SP,2011-966225
2011-798002004,Althea AH,2011-798002
2011-538011008,Alton,2011-538011
2011-538011007,Alton North,2011-538011
2011-579014001,Altona SP,2011-579014
2011-199017025,Altydgedacht,2011-199017
2011-982120006,Aluta Park,2011-982120
2011-798015222,Alveda,2011-798015
2011-987112001,Alverton SP,2011-987112
2011-960029006,Ama 2-room,2011-960029
2011-273075001,Amabele SP,2011-273075
2011-271202001,Amabhele SP,2011-271202
2011-538021001,Amadaka SP,2011-538021
2011-546073001,Amafahla SP,2011-546073
2011-599188001,Amagcino SP,2011-599188
2011-569021002,Amagodlanduku,2011-569021
2011-569019003,Amahlabathi,2011-569019
2011-273003001,Amahlathi NU,2011-273003
2011-594078001,Amahlathi SP,2011-594078
