STATSSA_Area_Code,Description,Main_Code
2011-581129001,Ekuthuthukeni SP,2011-581129
2011-576077001,Ekuvukeni SP,2011-576077
2011-569012001,Ekuvukeni SP,2011-569012
2011-282009001,Ekuxeni SP,2011-282009
2011-599136001,Ekwandeni,2011-599136
2011-383006051,El toro Park,2011-383006
2011-284055001,Elabafazi SP,2011-284055
2011-270474002,eLalini,2011-270474
2011-284408001,eLalini A SP,2011-284408
2011-271156001,eLalini A SP,2011-271156
2011-270492001,eLalini A SP,2011-270492
2011-271115001,eLalini B SP,2011-271115
2011-270531001,eLalini B SP,2011-270531
2011-284335001,eLalini B SP,2011-284335
2011-270133001,eLalini C SP,2011-270133
2011-271365001,eLalini C SP,2011-271365
2011-271080001,eLalini D SP,2011-271080
2011-270044001,eLalini D SP,2011-270044
2011-270470001,eLalini E SP,2011-270470
2011-271128001,eLalini E SP,2011-271128
2011-270645001,eLalini F SP,2011-270645
2011-271020001,eLalini F SP,2011-271020
2011-271010001,eLalini G SP,2011-271010
2011-270035001,eLalini H SP,2011-270035
2011-294021001,eLalini SP,2011-294021
2011-273022001,eLalini SP,2011-273022
2011-286231001,eLalini SP,2011-286231
2011-281061001,eLalini SP,2011-281061
2011-293239001,eLalini SP,2011-293239
2011-276105001,eLalini SP,2011-276105
2011-274088001,eLalini SP A,2011-274088
2011-274088002,eLalini SP B,2011-274088
2011-282353001,eLalini SP1,2011-282353
2011-282353002,eLalini SP2,2011-282353
2011-764002007,Eland Small AH,2011-764002
2011-475005007,Elandia,2011-475005
2011-677006008,Elandia,2011-677006
2011-475005004,Elandia Prison,2011-475005
2011-161006001,Elands Bay SP,2011-161006
2011-984069001,Elandsdoorn SP,2011-984069
2011-984065001,Elandsdoring A,2011-984065
2011-984065004,Elandsdoring C,2011-984065
2011-984065002,Elandsdoring F,2011-984065
2011-797008007,Elandsfontein,2011-797008
2011-761004001,Elandsfontein AH,2011-761004
2011-797008006,Elandsfontein Rail,2011-797008
2011-662006001,Elandsfontein SH,2011-662006
2011-797002008,Elandsfontein SH,2011-797002
2011-797008077,Elandshaven,2011-797008
2011-677006005,Elandsheuwel,2011-677006
2011-676004004,Elandsheuwel SH,2011-676004
2011-874068001,Elandshoek SP,2011-874068
2011-661002006,Elandskraal Chrome Mine,2011-661002
2011-983005001,Elandskraal SP,2011-983005
2011-798015155,Elandspark,2011-798015
2011-799035096,Elandspoort,2011-799035
2011-661034001,Elandsrand,2011-661034
2011-766021002,Elandsrand Mine,2011-766021
2011-766021001,Elandsrand SP,2011-766021
2011-766019001,Elandsridge SP,2011-766019
2011-599123002,Elangeni,2011-599123
2011-504036001,Elangeni SP,2011-504036
2011-799035166,Elarduspark,2011-799035
2011-379011001,Eldansrus SP,2011-379011
2011-799059022,Eldo Glen,2011-799059
2011-799059021,Eldo Meadows,2011-799059
2011-799059028,Eldo Park,2011-799059
2011-799059024,Eldo View,2011-799059
2011-763004025,Eldorado AH,2011-763004
2011-798015217,Eldorado Estate,2011-798015
2011-798015211,Eldorado Park,2011-798015
2011-969018001,Eldorado SP,2011-969018
2011-799059029,Eldoraigne,2011-799059
2011-799059030,Eldoraigne Ext 1,2011-799059
2011-799059037,"Eldoraigne Ext 11,  27",2011-799059
2011-799059036,"Eldoraigne Ext 11, 27",2011-799059
2011-799059034,"Eldoraigne Ext 3, 16, 18",2011-799059
2011-799059035,Eldoraigne Ext 45,2011-799059
2011-799059020,Eldoraigne Ext 48,2011-799059
2011-799059063,Eldoraigne Ext 6,2011-799059
2011-799059023,Eldoraigne Ext 62,2011-799059
2011-799059064,"Eldoraigne Ext 9, 19",2011-799059
2011-464002001,Election Park,2011-464002
2011-199036009,Electric City,2011-199036
2011-798015154,Electron,2011-798015
2011-981002003,Elements Private Golf Estate,2011-981002
2011-271278001,eLengeni SP,2011-271278
2011-598046001,Elengwe SP,2011-598046
2011-282005001,eLeni SP,2011-282005
2011-987137005,Elephant Hill,2011-987137
2011-199041100,Elfindale,2011-199041
2011-171008001,Elgin SP,2011-171008
2011-290006001,Elhibini SP,2011-290006
2011-984002002,Elias Motsoaledi NU,2011-984002
2011-270614001,eLigwa SP,2011-270614
2011-199020006,Elim,2011-199020
2011-968093003,Elim Hospital,2011-968093
2011-968094005,Elim SP,2011-968094
2011-173004001,Elim SP,2011-173004
2011-797005045,Elindinga,2011-797005
2011-285029001,Elithuthu SP,2011-285029
2011-284084001,Elithuthu SP,2011-284084
2011-285082001,eLixeni SP,2011-285082
2011-284015001,eLixeni SP,2011-284015
2011-763004022,Eljeesee AH,2011-763004
2011-677006027,Ellaton,2011-677006
2011-285001004,Elliot SP 1,2011-285001
2011-285001001,Elliot SP 2,2011-285001
2011-270050001,Elliotdale SP,2011-270050
2011-797007014,Elma Park,2011-797007
2011-974107001,Elmadal SH,2011-974107
2011-867008001,Eloff AH,2011-867008
2011-867008002,Eloff SP,2011-867008
2011-799035053,Eloffsdal,2011-799035
2011-284088001,eLokishini SP,2011-284088
2011-589050001,Elomoya SP,2011-589050
2011-797008057,Elsburg,2011-797008
2011-765013001,Elsburg Gold Mine SP,2011-765013
2011-167003001,Elsenburg SP,2011-167003
2011-199025001,Elsies River Industrial,2011-199025
2011-199025010,Elsies Rivier,2011-199025
2011-797008064,Elspark,2011-797008
2011-360078001,Elston SP,2011-360078
2011-968079006,Eltivillas,2011-968079
2011-598021001,Elucingweni SP,2011-598021
2011-276100001,Elugudwini SP,2011-276100
2011-598011001,Elukhashini SP,2011-598011
2011-297152001,Elumayeni SP,2011-297152
2011-286002001,Elundini NU,2011-286002
2011-276019001,Elundini SP,2011-276019
2011-503023001,Elupepeni SP,2011-503023
2011-273123001,Eluphendweni SP,2011-273123
2011-283152001,eLupindweni A SP,2011-283152
2011-283125001,eLupindweni B SP,2011-283125
2011-282085001,eLuqolweni A SP,2011-282085
2011-282085002,eLuqolweni B SP,2011-282085
2011-281062001,Eluqolweni SP,2011-281062
2011-282085003,Eluqolweni SP,2011-282085
2011-284145001,Eluqolweni SP,2011-284145
2011-293011001,Eluqolweni SP1,2011-293011
2011-293011002,Eluqolweni SP2,2011-293011
2011-293011003,Eluqolweni SP3,2011-293011
2011-294306001,Elusheni SP,2011-294306
2011-291088001,Elusibeni SP,2011-291088
2011-271151001,eLusuthu SP,2011-271151
2011-270249001,eLuthuthu SP,2011-270249
2011-282272001,Elutshabeni SP,2011-282272
2011-283066001,eLuxeni A SP,2011-283066
2011-283171001,eLuxeni B SP,2011-283171
2011-264004003,Eluxolweni,2011-264004
2011-290241001,Eluxolweni SP,2011-290241
2011-260062001,Eluxolweni SP,2011-260062
2011-270059001,eLuxomo SP,2011-270059
2011-286098001,eLuzie Drift SP,2011-286098
2011-561020001,Elysium SP,2011-561020
2011-570010008,Emabhanoyini,2011-570010
2011-546041001,Emabhedwini SP,2011-546041
2011-297347001,Emabhekuteni SP,2011-297347
2011-291031001,eMabheleni SP,2011-291031
2011-286104001,eMabheleni SP,2011-286104
2011-270040001,eMabheleni SP1,2011-270040
2011-270040002,eMabheleni SP2,2011-270040
2011-546046001,Emabomvini A SP,2011-546046
2011-546035001,Emabomvini B SP,2011-546035
2011-284058001,eMachibini SP,2011-284058
2011-291047001,eMachibini SP,2011-291047
2011-861004004,Emachineni,2011-861004
2011-599057001,eMachobeni SP,2011-599057
2011-583035001,eMachobeni SP,2011-583035
2011-576089001,Emachunwini SP,2011-576089
2011-293059001,eMacwereni SP,2011-293059
2011-284234001,eMacwereni SP,2011-284234
2011-284196001,eMadizeni SP,2011-284196
2011-287030004,Emadlangeni,2011-287030
2011-525002001,Emadlangeni NU,2011-525002
2011-573015001,Emadolobwe SP,2011-573015
2011-271167001,eMadopholweni SP,2011-271167
2011-291052001,Emadrayini SP,2011-291052
2011-529023001,Emadresini SP,2011-529023
2011-868017007,Emaforumini,2011-868017
2011-526055001,eMafusini SP,2011-526055
2011-284200001,eMafusini SP,2011-284200
2011-290016001,eMafusini SP,2011-290016
2011-289002002,Emagalini,2011-289002
2011-599140001,Emagezeni SP,2011-599140
2011-270460002,eMagiqweni,2011-270460
2011-271497001,eMagiqweni SP,2011-271497
2011-270253001,eMagocweni SP,2011-270253
2011-575130001,eMagogo SP,2011-575130
2011-286053001,Emagonyaweni SP,2011-286053
2011-271274001,eMagotsini SP,2011-271274
2011-273097001,eMagqobhokeni SP,2011-273097
2011-271166001,eMahemini SP,2011-271166
2011-573042001,Emahendeni SP,2011-573042
2011-599174002,Emahlabathini,2011-599174
2011-590017001,Emahlabathini SP,2011-590017
2011-577025002,eMahlalakahle,2011-577025
2011-286129001,Emahlathini SP,2011-286129
2011-282007001,Emahlathini SP,2011-282007
2011-560050001,Emahlathini SP,2011-560050
2011-271340001,eMahlathini SP2,2011-271340
2011-270499001,eMahliwane SP,2011-270499
2011-270011001,eMahlubeni SP,2011-270011
2011-271464001,eMahlubini A SP,2011-271464
2011-271001001,eMahlubini B SP,2011-271001
2011-293321001,eMahlubini SP,2011-293321
2011-274099001,eMahlubini SP,2011-274099
2011-286218001,eMahlubini SP,2011-286218
2011-573036001,Emahlutshini SP,2011-573036
2011-282122001,Emahodini SP,2011-282122
2011-577005001,Emakhabeleni SP,2011-577005
2011-581082001,Emakhalathini A SP,2011-581082
2011-581064001,Emakhalathini B SP,2011-581064
2011-581065001,Emakhalathini Mine,2011-581065
2011-290319001,Emakhalini SP,2011-290319
2011-870006002,eMakhazeni A SP,2011-870006
2011-877131001,eMakhazeni B SP,2011-877131
2011-599177003,Emakhazini,2011-599177
2011-573014001,Emakhekheni SP,2011-573014
2011-571042001,Emakhosaneni SP,2011-571042
2011-599055008,Emakhosini,2011-599055
2011-291107001,Emakhumsubeni SP,2011-291107
2011-274054001,eMakhuzeni SP,2011-274054
2011-292116001,eMakhuzeni SP,2011-292116
2011-271093001,eMakodisini SP,2011-271093
2011-587016001,Emakwezini SP,2011-587016
2011-868002014,eMalahleni Central,2011-868002
2011-868002013,eMalahleni Ext 10,2011-868002
2011-868002015,eMalahleni Ext 16,2011-868002
2011-868002018,eMalahleni Ext 41,2011-868002
2011-868002017,eMalahleni Ext 8,2011-868002
2011-870003002,eMalahleni NU,2011-870003
2011-868010002,eMalahleni NU,2011-868010
2011-283003001,eMalahleni NU,2011-283003
2011-291067001,Emalangeni,2011-291067
2011-599126001,Emalangeni SP,2011-599126
2011-294170001,Emalangeni SP,2011-294170
2011-271302001,eMambendeni SP,2011-271302
2011-270420001,eMamfeneni SP,2011-270420
2011-284419001,eMamfeneni SP,2011-284419
2011-291008001,Emamfengwini SP,2011-291008
2011-285066001,Emamfengwini SP,2011-285066
2011-297237001,eMampingeni SP,2011-297237
2011-284135001,eMampingeni SP,2011-284135
2011-270262001,eMampondweni A SP,2011-270262
2011-270378001,eMampondweni B SP,2011-270378
2011-284068001,eMamvulaneni SP,2011-284068
2011-291083001,Emanaleni SP,2011-291083
2011-573012001,Emandabeni SP,2011-573012
2011-560026001,eMandlalathi SP,2011-560026
2011-284361001,eMandlaneni SP,2011-284361
2011-294154001,eMandlaneni SP,2011-294154
2011-599146001,Emangabazini SP,2011-599146
2011-273099001,Emangcumeni SP,2011-273099
2011-542017001,Emangidini SP,2011-542017
2011-271406001,eMangqangqa SP,2011-271406
2011-270297001,eMangqosinini SP,2011-270297
2011-797005057,Emangweni,2011-797005
2011-282133001,eMangweni SP,2011-282133
2011-582012001,eMangweni SP,2011-582012
2011-260018001,eMangweni SP,2011-260018
2011-270032001,eMangweni SP,2011-270032
2011-273116001,eMangweni SP,2011-273116
2011-294342001,eMangweni SP,2011-294342
2011-284336001,eMangweni SP,2011-284336
2011-860045001,Emankanjini,2011-860045
2011-293005001,Emankuleni SP,2011-293005
2011-291116001,Emanqondeni SP,2011-291116
2011-599139001,Emansenseni A,2011-599139
2011-599179005,Emansomini,2011-599179
2011-284376001,eMantlegoso SP,2011-284376
2011-284271001,eMantlwaneni SP,2011-284271
2011-270406001,Emantshilbeni SP,2011-270406
2011-581004001,Emantungwini SP,2011-581004
2011-583011001,Emanyeseni SP,2011-583011
2011-583068001,eManyuka,2011-583068
2011-297304001,Emanzamnyama SP,2011-297304
2011-583072001,eMaphaya,2011-583072
2011-588008001,Emaphikaqala SP,2011-588008
2011-271165001,eMaphiko SP,2011-271165
2011-282170001,Emaqamini SP,2011-282170
2011-589047002,Emaqeleni SP,2011-589047
2011-270206001,Emaqungwini SP,2011-270206
2011-283207001,eMaqwatini SP,2011-283207
2011-271006001,eMarhawuleni SP,2011-271006
2011-271295001,eMarhedwaneni SP,2011-271295
2011-295053001,Emaromeni SP,2011-295053
2011-292129001,eMasameni SP,2011-292129
2011-588035001,Emasangweni  SP,2011-588035
2011-271011001,eMaseleni SP,2011-271011
2011-563017001,Emashingeni SP,2011-563017
2011-271110001,eMasisini SP,2011-271110
2011-869012002,Emaskopasini,2011-869012
2011-546085001,Emasomini A SP,2011-546085
2011-546053001,Emasomini B SP,2011-546053
2011-291085001,Emasunguzaneni SP,2011-291085
2011-566023001,Emaswazini SP,2011-566023
2011-271177001,eMaswusheni SP,2011-271177
2011-273036001,Ematanjeni SP,2011-273036
2011-592034001,Ematendeni SP,2011-592034
2011-587010001,Ematholeni SP,2011-587010
2011-271409001,eMatipheni SP,2011-271409
2011-273098001,Ematoleni SP,2011-273098
2011-270030001,eMatolweni SP,2011-270030
2011-271172001,eMatolweni SP,2011-271172
2011-276153001,eMatsamraleni A SP,2011-276153
2011-276164001,Ematsamraleni B SP,2011-276164
2011-295034001,Ematshanganeni SP,2011-295034
2011-284428001,eMatyabomvu SP,2011-284428
2011-298079001,Ematyeni SP,2011-298079
2011-284027001,eMatylolweni SP,2011-284027
2011-282249001,eMatyolweni SP,2011-282249
2011-868001005,Emavaga,2011-868001
2011-282045001,eMawusheni A SP,2011-282045
2011-282157001,eMawusheni B SP,2011-282157
2011-573035001,Emawuza SP,2011-573035
2011-295235001,eMaxesibeni SP,2011-295235
2011-270114001,eMaxhame SP,2011-270114
2011-270615001,Emaxixibeni SP,2011-270615
2011-283005001,Emayaluleni SP,2011-283005
2011-283208001,eMazimeni SP,2011-283208
2011-282187001,eMazizini SP,2011-282187
2011-286015001,eMazizini SP,2011-286015
2011-274127001,eMazizini SP,2011-274127
2011-284397001,eMazizini SP,2011-284397
2011-294420001,eMazizini SP,2011-294420
2011-291032001,eMazizini SP,2011-291032
2011-270047001,eMazizini SP1,2011-270047
2011-270047002,eMazizini SP2,2011-270047
2011-866011010,Embalenhle Ext 00,2011-866011
2011-866011001,Embalenhle Ext 11,2011-866011
2011-866011007,Embalenhle Ext 12,2011-866011
2011-866011020,Embalenhle Ext 14,2011-866011
2011-866011021,Embalenhle Ext 15,2011-866011
2011-866011016,Embalenhle Ext 16,2011-866011
2011-866011022,Embalenhle Ext 17,2011-866011
2011-866011017,Embalenhle Ext 18,2011-866011
2011-866011013,Embalenhle Ext 24,2011-866011
2011-866011002,Embalenhle Ext 3,2011-866011
2011-866011004,Embalenhle Ext 4,2011-866011
2011-866011012,Embalenhle Ext 5,2011-866011
2011-866011011,Embalenhle Ext 6 & 13,2011-866011
2011-866011006,Embalenhle Ext 7,2011-866011
2011-866011003,Embalenhle Ext 9,2011-866011
2011-866011019,Embalenhle SP,2011-866011
2011-293111001,Embalwini SP,2011-293111
2011-273083001,Embandezweleni SP,2011-273083
2011-583015001,Embandleni SP,2011-583015
2011-297106001,Embane SP,2011-297106
2011-271058001,eMbangweni SP,2011-271058
2011-860027001,eMbangweni SP,2011-860027
2011-576067001,eMbangweni SP,2011-576067
2011-298072001,eMbangweni SP,2011-298072
2011-594061001,Embantini SP1,2011-594061
2011-594061002,Embantini SP2,2011-594061
2011-281083001,Embekweni SP,2011-281083
2011-285085001,eMbewuleni SP,2011-285085
2011-876021001,Embhojeni SP,2011-876021
2011-860011001,Embhuleni SP,2011-860011
2011-576003001,Embidlini SP,2011-576003
2011-297228001,Embileni SP,2011-297228
2011-546079001,Embizeni SP,2011-546079
2011-284266001,Embo SP,2011-284266
2011-290302001,Emboleni SP,2011-290302
2011-292244001,Emboleni SP,2011-292244
2011-286101001,eMbonisiweni SP,2011-286101
2011-286102001,eMbopisiweni SP,2011-286102
2011-271211001,eMbovu SP,2011-271211
2011-568015001,Embuthweni SP,2011-568015
2011-281065001,Emcambalaleni SP,2011-281065
2011-580103001,Emcebo SP,2011-580103
2011-297271001,Emcetheni SP,2011-297271
2011-798026055,Emdeni,2011-798026
2011-270515001,Emdeni SP,2011-270515
2011-297234001,Emdikisweni SP,2011-297234
2011-291062001,Emdlankala SP,2011-291062
2011-297060001,Emdozingana SP,2011-297060
2011-529026001,Emdundubezini SP,2011-529026
2011-284212001,eMdungunyeni SP,2011-284212
2011-573025001,Emdwebu SP,2011-573025
2011-594024001,Ememela SP,2011-594024
2011-588022001,Emfeceni SP,2011-588022
2011-797005059,Emfihlweni,2011-797005
2011-297143001,Emfinizweni SP,2011-297143
2011-297136001,Emfolozi SP,2011-297136
2011-271062002,Emfulamde A SP,2011-271062
2011-271062001,eMfulamde B SP,2011-271062
2011-760006002,Emfuleni NU,2011-760006
2011-560017001,Emgangeni SP,2011-560017
2011-271069001,eMgcwe SP,2011-271069
2011-599055014,Emgidweni,2011-599055
2011-589014001,Emgoswaneni SP,2011-589014
2011-271186001,eMgqigweni SP,2011-271186
2011-270009001,eMgudlwane SP,2011-270009
2011-276165001,eMgwanisheni SP,2011-276165
2011-870004001,Emgwenya SP,2011-870004
2011-573039001,Emhlabathini SP,2011-573039
2011-292046001,eMhlanga SP,2011-292046
2011-529030001,Emhlangeni SP,2011-529030
2011-587027001,Emhlanzini SP,2011-587027
2011-575128001,eMhosheni SP,2011-575128
2011-573024001,Emhubeni SP,2011-573024
2011-876006001,Emjejane SP,2011-876006
2011-296174001,Emjelweni SP,2011-296174
2011-285070001,Emjikelweni SP,2011-285070
2011-286047001,Emjikelweni SP,2011-286047
2011-875007002,Emjindini Ext 11,2011-875007
2011-875007001,Emjindini Ext 12,2011-875007
2011-875007005,Emjindini Ext 2,2011-875007
2011-875007012,Emjindini Ext 4,2011-875007
2011-875007008,Emjindini Ext 6,2011-875007
2011-875007010,Emjindini Ext 8,2011-875007
2011-875007003,Emjindini Ext 9,2011-875007
2011-875002005,Emjindini Trust,2011-875002
2011-560043001,eMjunundwini SP,2011-560043
2011-284053001,eMkalweni SP,2011-284053
2011-797005042,Emkatini,2011-797005
2011-581100001,Emkhalaqude SP,2011-581100
2011-985062001,Emkhondweni SP,2011-985062
2011-546075001,Emkhovini SP,2011-546075
2011-597030001,Emkhubane SP,2011-597030
2011-599055015,Emlandweni,2011-599055
2011-599055019,Emlanjeni,2011-599055
2011-270034001,eMlenzeni SP,2011-270034
2011-860025001,eMlondozi SP,2011-860025
2011-271426001,eMmangweni A SP,2011-271426
2011-271425001,eMmangweni B SP,2011-271425
2011-284373001,eMmangweni SP,2011-284373
2011-798016078,Emmarentia,2011-798016
2011-571065001,Emmaus SP,2011-571065
2011-593051001,Emnamane SP,2011-593051
2011-514002001,Emnambithi/Ladysmith NU,2011-514002
2011-589083001,Emncongweni SP,2011-589083
2011-271185001,eMncuncuno SP,2011-271185
2011-282318001,Emndeni SP,2011-282318
2011-270610001,eMndwaxa SP,2011-270610
2011-271081001,eMngcwe SP,2011-271081
2011-282025001,Emntla SP,2011-282025
2011-589060001,Emnyameni SP,2011-589060
2011-546036001,Emnyameni SP,2011-546036
2011-292100001,Emnyameni SP,2011-292100
2011-573013001,Emnyangweni SP,2011-573013
2011-594052001,Emnywaneni SP,2011-594052
2011-583048001,eMombeni SP,2011-583048
2011-599004001,Emona AH,2011-599004
2011-286170001,eMoyeni,2011-286170
2011-797005040,eMoyeni,2011-797005
2011-874055001,Emoyeni SP,2011-874055
2011-573010001,Emoyeni SP,2011-573010
2011-294279001,Empa SP,2011-294279
2011-292081001,eMpangala SP,2011-292081
2011-538015002,Empangeni Central,2011-538015
2011-588036001,Empangeni SP,2011-588036
2011-573007001,Empangweni SP,2011-573007
2011-538023001,Empembeni SP,2011-538023
2011-271102001,eMphahleni A SP,2011-271102
2011-271082001,eMphahleni B SP,2011-271082
2011-860030001,eMphelandaba SP,2011-860030
2011-271204001,eMphesheya SP,2011-271204
2011-571067001,Empimbe SP,2011-571067
2011-273041001,Empindweni SP,2011-273041
2011-542006001,Empotholo SP,2011-542006
2011-860045005,Empuluzu Section-A,2011-860045
2011-860045003,Empuluzu Section-B,2011-860045
2011-860045002,Empuluzu Section-C,2011-860045
2011-860045004,Empuluzu Section-D,2011-860045
2011-860045006,Empuluzu Section-E,2011-860045
2011-868003002,eMpumelelweni,2011-868003
2011-287066001,Emqheyen,2011-287066
2011-868003013,Emsagweni,2011-868003
2011-599179006,Emsahweni,2011-599179
2011-291057001,Emsindweni SP,2011-291057
2011-294297001,Emsukweni SP,2011-294297
2011-546066001,Emtanjeni SP,2011-546066
2011-294156001,Emtebe SP,2011-294156
2011-876031001,Emtfuntini SP,2011-876031
2011-281070001,Emtha SP,2011-281070
2011-294459001,Emthaleni SP,2011-294459
2011-576007001,Emthaleni SP,2011-576007
2011-371003002,Emthanjeni NU,2011-371003
2011-546030001,Emthombeni SP,2011-546030
2011-583046001,eMthonjeni SP,2011-583046
2011-283165001,eMthonjeni SP,2011-283165
2011-273087001,Emthonjini SP,2011-273087
2011-271338001,eMtonjeni SP,2011-271338
2011-593014001,Emtwandle SP,2011-593014
2011-287129005,Emua Kwegolo,2011-287129
2011-590019001,Emukhindini SP,2011-590019
2011-566033001,eMunyini SP,2011-566033
2011-599023001,Emvini SP,2011-599023
2011-291114001,Emvubini SP,2011-291114
2011-598119001,eMvubukazi A,2011-598119
2011-598119002,eMvubukazi B,2011-598119
2011-594001001,Emvuleni SP,2011-594001
2011-529032001,Emvunyane SP,2011-529032
2011-274070001,eMxaxa SP,2011-274070
2011-260058001,eMxhaxho SP,2011-260058
2011-276098001,eMxohelo SP,2011-276098
2011-282026001,Emzantsi SP,2011-282026
2011-866008015,Emzinoni,2011-866008
2011-866008004,Emzinoni Ext 2,2011-866008
2011-866008011,Emzinoni Ext 3,2011-866008
2011-866008013,Emzinoni Ext 4,2011-866008
2011-866008016,Emzinoni Ext 5,2011-866008
2011-271385002,eMzitheni 1 SP,2011-271385
2011-271385001,eMzitheni 2 SP,2011-271385
2011-284407001,eMzwini SP,2011-284407
2011-964018001,Enable SP,2011-964018
2011-562044001,Enbuyeni SP,2011-562044
2011-283109001,eNcalukeni SP,2011-283109
2011-286176001,eNcalukeni SP,2011-286176
2011-271391001,eNcalukeni SP,2011-271391
2011-284014001,eNcalukeni SP,2011-284014
2011-797005028,Endayini,2011-797005
2011-270469001,eNdelane SP,2011-270469
2011-271253001,eNdenya SP,2011-271253
2011-762003001,Endicott SH,2011-762003
2011-591011001,Endlondlweni SP,2011-591011
2011-581113001,Endlovana SP,2011-581113
2011-284289001,Enduku SP,2011-284289
2011-165008001,eNduli SP,2011-165008
2011-295231001,eNdulini,2011-295231
2011-270170001,eNdulini A SP,2011-270170
2011-270005001,eNdulini B SP,2011-270005
2011-284338001,eNdulini SP,2011-284338
2011-282190001,eNdulini SP,2011-282190
2011-797005043,Endulweni,2011-797005
2011-574002001,Endumeni NU,2011-574002
2011-284221001,eNdungunyeni SP,2011-284221
2011-283161001,Endwe SP,2011-283161
2011-580102001,Enengeni SP A,2011-580102
2011-580102002,Enengeni SP B,2011-580102
2011-284409001,Engasa SP,2011-284409
2011-284227001,eNgcacu SP1,2011-284227
2011-284229001,eNgcacu SP2,2011-284229
2011-271354001,eNgcingcinikhwe SP,2011-271354
2011-284004001,Engcobo NU,2011-284004
2011-284179001,Engcobo SP,2011-284179
2011-293036001,Engcoti SP,2011-293036
2011-284414001,Engcotyeni SP,2011-284414
2011-271171001,eNgcwangu A SP,2011-271171
2011-271178001,eNgcwangu B SP,2011-271178
2011-573021001,Engodini SP,2011-573021
2011-270244001,eNgojini SP,2011-270244
2011-281079001,eNgojini SP,2011-281079
2011-294378001,eNgojini SP,2011-294378
2011-292130001,eNgojini SP1,2011-292130
2011-292130002,eNgojini SP2,2011-292130
2011-562030001,Engoleleni SP,2011-562030
2011-860015001,Engonini SP,2011-860015
2011-270361001,eNgonyama SP,2011-270361
2011-573004001,Engonyameni SP,2011-573004
2011-582014001,eNgozini SP,2011-582014
2011-284379001,eNgqaba SP,2011-284379
2011-283103001,eNgqanda A SP,2011-283103
2011-283129001,eNgqanda B SP,2011-283129
2011-283102001,eNgqanda SP,2011-283102
2011-271284001,eNgqaqeni SP,2011-271284
2011-290115001,Engqosa SP,2011-290115
2011-274028001,eNgquthu SP,2011-274028
2011-565013001,Enguga SP,2011-565013
2011-598128001,Engunjini SP,2011-598128
2011-276079001,eNgwabeni SP,2011-276079
2011-271482001,eNgwane SP,2011-271482
2011-871008001,eNgwengameni SP,2011-871008
2011-291066001,Engweni SP,2011-291066
2011-271003001,eNgxalawe SP,2011-271003
2011-271305001,eNgxewaneSP,2011-271305
2011-282257001,eNgxingweni A SP,2011-282257
2011-282310001,eNgxingweni B SP,2011-282310
2011-270052001,eNgxingweni SP,2011-270052
2011-286062001,eNgxingweni SP,2011-286062
2011-282087001,eNgxingweni SP,2011-282087
2011-284195001,Engxogi SP,2011-284195
2011-587008001,Enhlabosini SP,2011-587008
2011-576075001,eNhlalakahle SP,2011-576075
2011-582054001,Enhlambeni SP,2011-582054
2011-503013001,Enhlangwini SP,2011-503013
2011-291120001,Enhlanjeni SP,2011-291120
2011-538015023,Eniwe,2011-538015
2011-286037001,eNkalweni SP 2,2011-286037
2011-286037003,eNkalweni SP 3,2011-286037
2011-286037002,eNkalweni SP1,2011-286037
2011-580118001,Enkananeni SP A,2011-580118
2011-580118002,Enkananeni SP B,2011-580118
2011-565010001,Enkangala SP,2011-565010
2011-861004003,Enkanini,2011-861004
2011-271275001,eNkaniniSP,2011-271275
2011-599055007,Enkanyisweni,2011-599055
2011-506043001,Enkanyisweni SP,2011-506043
2011-599179002,Enkanyiswini Shozi,2011-599179
2011-582030001,Enkathweni SP,2011-582030
2011-271372001,eNkcalwini SP,2011-271372
2011-871012001,Enkeldoornoog A,2011-871012
2011-871012002,Enkeldoornoog B,2011-871012
2011-871012003,Enkeldoornoog C,2011-871012
2011-271356001,eNkelekethe SP,2011-271356
2011-860022001,Enkhaba SP,2011-860022
2011-270497001,eNkolweni SP,2011-270497
2011-298154001,eNkongolo,2011-298154
2011-582004001,eNkovukeni SP,2011-582004
2011-503089001,Enkulu SP,2011-503089
2011-505013001,Enkulu SP,2011-505013
2011-270360001,eNkunkumeni SP,2011-270360
2011-588034001,Enkwenkwe A SP,2011-588034
2011-588003001,Enkwenkwe B SP,2011-588003
2011-590025001,Enkwenkwe SP,2011-590025
2011-291076001,Enkweza SP,2011-291076
2011-798033001,Ennerdale Ext 1,2011-798033
2011-798033009,Ennerdale Ext 10 & 11,2011-798033
2011-798033008,"Ennerdale Ext 12, 13 & 14",2011-798033
2011-798033003,Ennerdale Ext 2,2011-798033
2011-798033004,Ennerdale Ext 3,2011-798033
2011-798033007,Ennerdale Ext 6,2011-798033
2011-798033012,Ennerdale Ext 8,2011-798033
2011-798033002,Ennerdale Ext 9,2011-798033
2011-798033010,Ennerdale South,2011-798033
2011-266003001,Enon SP,2011-266003
2011-297157001,Enqabeni A SP,2011-297157
2011-297061001,Enqabeni B SP,2011-297061
2011-297127001,Enqabeni SP,2011-297127
2011-271247001,eNqileni SP,2011-271247
2011-270570001,eNqileni SP,2011-270570
2011-281063001,Enqobokeni 1 SP,2011-281063
2011-281064001,Enqobokeni 2 SP,2011-281064
2011-586026001,Enqupheni SP,2011-586026
2011-538010001,Enseleni Nature Reserve,2011-538010
2011-667079001,Enselsrust SP,2011-667079
